DATE,HOUST_PC1
1960-01-01,-11.88896
1960-02-01,-9.83803
1960-03-01,-31.54321
1960-04-01,-18.93082
1960-05-01,-15.15354
1960-06-01,-17.03260
1960-07-01,-22.62443
1960-08-01,-6.01399
1960-09-01,-28.76623
1960-10-01,-8.04428
1960-11-01,-12.00565
1960-12-01,-33.60400
1961-01-01,-18.97260
1961-02-01,-18.42981
1961-03-01,18.30478
1961-04-01,-9.54228
1961-05-01,-3.38316
1961-06-01,10.82598
1961-07-01,11.52882
1961-08-01,-2.38095
1961-09-01,30.26436
1961-10-01,13.56340
1961-11-01,11.15570
1961-12-01,28.41016
1962-01-01,15.04649
1962-02-01,4.24144
1962-03-01,9.98476
1962-04-01,30.70326
1962-05-01,20.76547
1962-06-01,1.59190
1962-07-01,8.61423
1962-08-01,15.62500
1962-09-01,-7.34780
1962-10-01,8.33922
1962-11-01,17.11191
1962-12-01,14.57875
1963-01-01,-8.59662
1963-02-01,13.92801
1963-03-01,6.30631
1963-04-01,10.82677
1963-05-01,10.65408
1963-06-01,13.10541
1963-07-01,11.31034
1963-08-01,8.04219
1963-09-01,33.15710
1963-10-01,16.04697
1963-11-01,0.00000
1963-12-01,-4.66752
1964-01-01,28.85852
1964-02-01,25.00000
1964-03-01,-1.10821
1964-04-01,-14.26880
1964-05-01,-10.60329
1964-06-01,-2.39295
1964-07-01,-3.22181
1964-08-01,-4.27090
1964-09-01,-17.47022
1964-10-01,-14.33390
1964-11-01,-8.38471
1964-12-01,-0.46948
1965-01-01,-15.09669
1965-02-01,-21.26374
1965-03-01,-6.19644
1965-04-01,-0.69061
1965-05-01,0.74983
1965-06-01,-4.00000
1965-07-01,-2.11268
1965-08-01,-8.73168
1965-09-01,1.85567
1965-10-01,-4.72441
1965-11-01,-1.74966
1965-12-01,11.59030
1966-01-01,0.66128
1966-02-01,-3.83810
1966-03-01,-2.03795
1966-04-01,-5.98053
1966-05-01,-14.41137
1966-06-01,-19.75806
1966-07-01,-28.97319
1966-08-01,-21.85754
1966-09-01,-29.41970
1966-10-01,-41.94215
1966-11-01,-34.17808
1966-12-01,-40.21739
1967-01-01,-22.11679
